url_PI,name,set,url_CM
https://en.play-in.com/rachat/magic/result.php?i=15978,Puresteel-Paladin,Commander-D&D-Adventures-in-the-Forgotten-Realms,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-D&D-Adventures-in-the-Forgotten-Realms/Puresteel-Paladin
https://en.play-in.com/rachat/magic/result.php?i=15978,Puresteel-Paladin,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Puresteel-Paladin
https://en.play-in.com/rachat/magic/result.php?i=16723,Avacyn-Angel-of-Hope,Avacyn-Restored,https://www.cardmarket.com/en/Magic/Products/Singles/Avacyn-Restored/Avacyn-Angel-of-Hope
https://en.play-in.com/rachat/magic/result.php?i=16723,Avacyn-Angel-of-Hope,From-the-Vault-Angels,https://www.cardmarket.com/en/Magic/Products/Singles/From-the-Vault-Angels/Avacyn-Angel-of-Hope
https://en.play-in.com/rachat/magic/result.php?i=16723,Avacyn-Angel-of-Hope,Iconic-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Iconic-Masters/Avacyn-Angel-of-Hope
https://en.play-in.com/rachat/magic/result.php?i=16723,Avacyn-Angel-of-Hope,Judge-Rewards-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Judge-Rewards-Promos/Avacyn-Angel-of-Hope
https://en.play-in.com/rachat/magic/result.php?i=16723,Avacyn-Angel-of-Hope,Double-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Double-Masters/Avacyn-Angel-of-Hope
https://en.play-in.com/rachat/magic/result.php?i=16723,Avacyn-Angel-of-Hope,Double-Masters-Extras,https://www.cardmarket.com/en/Magic/Products/Singles/Double-Masters-Extras/Avacyn-Angel-of-Hope
https://en.play-in.com/rachat/magic/result.php?i=19022,Mishras-Toy-Workshop,Happy-Holidays-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Happy-Holidays-Promos/Mishras-Toy-Workshop
https://en.play-in.com/rachat/magic/result.php?i=10816,Sunken-Ruins,Shadowmoor,https://www.cardmarket.com/en/Magic/Products/Singles/Shadowmoor/Sunken-Ruins
https://en.play-in.com/rachat/magic/result.php?i=10816,Sunken-Ruins,Battle-for-Zendikar-Expeditions,https://www.cardmarket.com/en/Magic/Products/Singles/Battle-for-Zendikar-Expeditions/Sunken-Ruins
https://en.play-in.com/rachat/magic/result.php?i=10816,Sunken-Ruins,Double-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Double-Masters/Sunken-Ruins
https://en.play-in.com/rachat/magic/result.php?i=20397,Cryptolith-Rite,Shadows-over-Innistrad,https://www.cardmarket.com/en/Magic/Products/Singles/Shadows-over-Innistrad/Cryptolith-Rite
https://en.play-in.com/rachat/magic/result.php?i=20397,Cryptolith-Rite,Shadows-over-Innistrad-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Shadows-over-Innistrad-Promos/Cryptolith-Rite
https://en.play-in.com/rachat/magic/result.php?i=19219,Sidisi-Undead-Vizier,Dragons-of-Tarkir,https://www.cardmarket.com/en/Magic/Products/Singles/Dragons-of-Tarkir/Sidisi-Undead-Vizier
https://en.play-in.com/rachat/magic/result.php?i=8536,Time-Vault,Alpha,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Time-Vault
https://en.play-in.com/rachat/magic/result.php?i=8536,Time-Vault,Beta,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Time-Vault
https://en.play-in.com/rachat/magic/result.php?i=8536,Time-Vault,Unlimited,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Time-Vault
https://en.play-in.com/rachat/magic/result.php?i=8536,Time-Vault,International-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/International-Edition/Time-Vault
https://en.play-in.com/rachat/magic/result.php?i=9195,Word-of-Command,Alpha,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Word-of-Command
https://en.play-in.com/rachat/magic/result.php?i=9195,Word-of-Command,Beta,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Word-of-Command
https://en.play-in.com/rachat/magic/result.php?i=9195,Word-of-Command,Unlimited,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Word-of-Command
https://en.play-in.com/rachat/magic/result.php?i=9195,Word-of-Command,International-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/International-Edition/Word-of-Command
https://en.play-in.com/rachat/magic/result.php?i=17929,Nykthos-Shrine-to-Nyx,Theros,https://www.cardmarket.com/en/Magic/Products/Singles/Theros/Nykthos-Shrine-to-Nyx
https://en.play-in.com/rachat/magic/result.php?i=17929,Nykthos-Shrine-to-Nyx,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Nykthos-Shrine-to-Nyx
https://en.play-in.com/rachat/magic/result.php?i=17929,Nykthos-Shrine-to-Nyx,DCI-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/DCI-Promos/Nykthos-Shrine-to-Nyx
https://en.play-in.com/rachat/magic/result.php?i=17953,Ashiok-Nightmare-Weaver,Theros,https://www.cardmarket.com/en/Magic/Products/Singles/Theros/Ashiok-Nightmare-Weaver
https://en.play-in.com/rachat/magic/result.php?i=18648,Sliver-Hivelord,Magic-2015,https://www.cardmarket.com/en/Magic/Products/Singles/Magic-2015/Sliver-Hivelord
https://en.play-in.com/rachat/magic/result.php?i=23038,Tendershoot-Dryad,Rivals-of-Ixalan,https://www.cardmarket.com/en/Magic/Products/Singles/Rivals-of-Ixalan/Tendershoot-Dryad
https://en.play-in.com/rachat/magic/result.php?i=10543,Greater-Auramancy,Shadowmoor,https://www.cardmarket.com/en/Magic/Products/Singles/Shadowmoor/Greater-Auramancy
https://en.play-in.com/rachat/magic/result.php?i=10543,Greater-Auramancy,Judge-Rewards-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Judge-Rewards-Promos/Greater-Auramancy
https://en.play-in.com/rachat/magic/result.php?i=20685,Grenzo-Havoc-Raiser,Conspiracy-Take-the-Crown,https://www.cardmarket.com/en/Magic/Products/Singles/Conspiracy-Take-the-Crown/Grenzo-Havoc-Raiser
https://en.play-in.com/rachat/magic/result.php?i=10233,Thousand-Year-Elixir,Lorwyn,https://www.cardmarket.com/en/Magic/Products/Singles/Lorwyn/Thousand-Year-Elixir
https://en.play-in.com/rachat/magic/result.php?i=10233,Thousand-Year-Elixir,Commander-2013,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-2013/Thousand-Year-Elixir
https://en.play-in.com/rachat/magic/result.php?i=10233,Thousand-Year-Elixir,Commander-Anthology,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Anthology/Thousand-Year-Elixir
https://en.play-in.com/rachat/magic/result.php?i=10233,Thousand-Year-Elixir,Commander-2021-Strixhaven,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-2021-Strixhaven/Thousand-Year-Elixir
https://en.play-in.com/rachat/magic/result.php?i=10233,Thousand-Year-Elixir,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Thousand-Year-Elixir
https://en.play-in.com/rachat/magic/result.php?i=21220,Tymna-the-Weaver,Commander-2016,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-2016/Tymna-the-Weaver
https://en.play-in.com/rachat/magic/result.php?i=21220,Tymna-the-Weaver,Commander-Legends-Extras,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Legends-Extras/Tymna-the-Weaver
https://en.play-in.com/rachat/magic/result.php?i=20436,Emrakul-the-Promised-End,Eldritch-Moon,https://www.cardmarket.com/en/Magic/Products/Singles/Eldritch-Moon/Emrakul-the-Promised-End
https://en.play-in.com/rachat/magic/result.php?i=20436,Emrakul-the-Promised-End,Eldritch-Moon-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Eldritch-Moon-Promos/Emrakul-the-Promised-End
https://en.play-in.com/rachat/magic/result.php?i=3018,Moggcatcher,Nemesis,https://www.cardmarket.com/en/Magic/Products/Singles/Nemesis/Moggcatcher
https://en.play-in.com/rachat/magic/result.php?i=3018,Moggcatcher,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Moggcatcher
https://en.play-in.com/rachat/magic/result.php?i=5009,Ruby-Medallion,Tempest,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Ruby-Medallion
https://en.play-in.com/rachat/magic/result.php?i=5009,Ruby-Medallion,Commander-2014,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-2014/Ruby-Medallion
https://en.play-in.com/rachat/magic/result.php?i=5009,Ruby-Medallion,Commander-Anthology-II,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Anthology-II/Ruby-Medallion
https://en.play-in.com/rachat/magic/result.php?i=930,Attrition,Commander,https://www.cardmarket.com/en/Magic/Products/Singles/Commander/Attrition
https://en.play-in.com/rachat/magic/result.php?i=930,Attrition,Amonkhet-Invocations,https://www.cardmarket.com/en/Magic/Products/Singles/Amonkhet-Invocations/Attrition
https://en.play-in.com/rachat/magic/result.php?i=14970,Emeria-the-Sky-Ruin,Zendikar,https://www.cardmarket.com/en/Magic/Products/Singles/Zendikar/Emeria-the-Sky-Ruin
https://en.play-in.com/rachat/magic/result.php?i=14970,Emeria-the-Sky-Ruin,Commander-2014,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-2014/Emeria-the-Sky-Ruin
https://en.play-in.com/rachat/magic/result.php?i=14970,Emeria-the-Sky-Ruin,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Emeria-the-Sky-Ruin
https://en.play-in.com/rachat/magic/result.php?i=3648,Phyrexian-Tower,Ultimate-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Ultimate-Masters/Phyrexian-Tower
https://en.play-in.com/rachat/magic/result.php?i=3648,Phyrexian-Tower,Jumpstart,https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart/Phyrexian-Tower
https://en.play-in.com/rachat/magic/result.php?i=3648,Phyrexian-Tower,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Phyrexian-Tower
https://en.play-in.com/rachat/magic/result.php?i=19067,Temporal-Trespass,Fate-Reforged,https://www.cardmarket.com/en/Magic/Products/Singles/Fate-Reforged/Temporal-Trespass
